asin,Title,MainImage,Rating,NumberOfReviews,Price,AvailableSizes,AvailableColors,BulletPoints,SellerRank
B07MJ14QMJ,"







EVGA GeForce GTX 1070 SC GAMING ACX 3.0 Black Edition, 8GB GDDR5, LED, DX12 OSD Support (PXOC) 08G-P4-5173-KR (Renewed)






",https://images-na.ssl-images-amazon.com/images/I/510n5u0y4QL._AC_.jpg,4.5 out of 5 stars,56 ratings,,"Real Boost Clock: 1784 MHz,Real Boost Clock: 1797 MHz",,"
,
,
Real Base Clock: 1594 MHz / Real Boost Clock: 1784 MHz; Memory Detail: 8192MB GDDR5

,
Run Longer, Play Longer with EVGA ""ACX 3.0"" Cooling. Operating system support: Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit

,
What you see is what you get! – No additional software required to achieve listed clock speeds

,
DX12 OSD Support with EVGA Precision XOC. Requires Minimum of a 500 Watt power supply. Max Monitors Supported: 4

,
3 Year Warranty & EVGA's 24/7 Technical Support. Requirements: Minimum of a 500 Watt power supply.One available 8-pin PCI-E power dongle, Total Power Draw : 170 Watts

",
B076RCTXGX,"







ASUS ROG Strix GeForce GTX 1070 Ti 8GB GDDR5 Advanced Edition VR Ready DP HDMI DVI Gaming Graphics Card (ROG-STRIX-GTX1070TI-A8G-GAMING)






",https://images-na.ssl-images-amazon.com/images/I/515jAee9GsL._AC_.jpg,4.6 out of 5 stars,770 ratings,,"DUAL RTX 2060 Super EVO,DUAL RTX 2060 Super EVO V2,ROG STRIX GTX 1070 TI,ROG STRIX RTX 2060",,"
,
,
1759 MHz Boost Clock (OC Mode) featuring 8GB GDDR5 256-bit memory powered by NVIDIA Pascal. Dimensions- 11.73 x 5.28 x 2.07 Inch

,
ASUS Aura Sync RGB lighting on the shroud and backplate provides a nearly endless spectrum of colors with the ability to synchronize effects across asus Aura Sync enabled products

,
MaxContact plus Auto-extreme manufacturing technology delivers 2X more GPU to heatsink contact for increased cooling efficiency with premium quality aerospace-grade Super Alloy Power II components

,
Patented wing-blade 0dB fans with FanConnect II optimizes cooling performance using three axial fans to maximize airflow and two 4-pin headers for targeted system cooling

,
GPU Tweak II makes monitoring performance and streaming easier than ever, featuring Game Booster and a free 1-year premium license of XSplit Gamecaster

,
Form Factor: Plug-in Card

",
asin,Title,MainImage,Rating,NumberOfReviews,Price,AvailableSizes,AvailableColors,BulletPoints,SellerRank
B0913JYNDV,"







Gigabyte GeForce GTX 1660 Super Mini ITX OC Edition Graphics Card, 6GB 192-bit GDDR6 PCIe 3.0, 3D Active Fan AORUS Engine, 1x HDMI 2.0b 3X DisplayPort 1.4 w/ Mytrix HDMI 2.1 Cable(4k@120Hz/8K@60Hz)






",https://images-na.ssl-images-amazon.com/images/I/41HPyKRjqdL._AC_.jpg,,,$769.99,,,"
,
,
【UNIQUE BLADE FAN】The airflow is split by the triangular fansedge, and guided smoothly through the 3D stripe curve on the fan surface, effectively enhancing the airflow.

,
【3D ACTIVE FAN】The 3D Active Fan provides semi-passive cooling, and the fans will remain off when the GPU is in a low load or low power game. It allows gamers to enjoy gameplay in complete silence when the system is running light or idle.

,
【HEAT PIPES DIRECT TOUCH GPU】The shape of the pure copper heat pipes maximizes the direct contact area with the GPU, enhancing heat transfer. The heat pipes also cover the VRAM through a large metal plate contact to ensure proper cooling.

,
【EXTREME DURABILITY AND OVERCLOCKING】The graphics card uses the better power phases design to allow the MOSFET to operate at lower temperature, and over-temperature protection design and load balancing for each MOSFET, plus the Ultra Durable certified chokes and capacitors, to provide excellent performance and longer system life.

,
【AORUS ENGINE】The cutting-edge intuitive interface allows you to adjust the clock speed, voltage, fan performance and power target in real-time according to your game's requirements.

",
B082P1BF7H,"







MSI Gaming GeForce RTX 2070 8GB GDRR6 256-Bit HDMI/DP DirectX 12 VR Ready Ray Tracing Turing Architecture HDCP Graphics Card (RTX 2070 TRI FROZR), (Model: GeForce RTX 2070 TRI FROZR)






",https://images-na.ssl-images-amazon.com/images/I/410ZNLnK2fL._AC_.jpg,4.7 out of 5 stars,328 ratings,,,,"
,
,
Chipset: NVIDIA GeForce RTX 2070

,
Boost Clock: 1620 MHz

,
Memory Interface: 256-bit

,
Video Memory: 8GB GDDR6

,
Output: DisplayPort x 3 (v1. 4) / HDMI 2. 0b x 1

",
B07SSVWFML,"







Nvidia GeForce GTX 1070 Founders Edition - 900-1G411-2520-000






",https://images-na.ssl-images-amazon.com/images/I/41oijJaFTXL._AC_.jpg,4.0 out of 5 stars,1 rating,,,,,
B076RCTXGX,"







ASUS ROG Strix GeForce GTX 1070 Ti 8GB GDDR5 Advanced Edition VR Ready DP HDMI DVI Gaming Graphics Card (ROG-STRIX-GTX1070TI-A8G-GAMING)






",https://images-na.ssl-images-amazon.com/images/I/515jAee9GsL._AC_.jpg,4.6 out of 5 stars,770 ratings,,"DUAL RTX 2060 Super EVO,DUAL RTX 2060 Super EVO V2,ROG STRIX GTX 1070 TI,ROG STRIX RTX 2060",,"
,
,
1759 MHz Boost Clock (OC Mode) featuring 8GB GDDR5 256-bit memory powered by NVIDIA Pascal. Dimensions- 11.73 x 5.28 x 2.07 Inch

,
ASUS Aura Sync RGB lighting on the shroud and backplate provides a nearly endless spectrum of colors with the ability to synchronize effects across asus Aura Sync enabled products

,
MaxContact plus Auto-extreme manufacturing technology delivers 2X more GPU to heatsink contact for increased cooling efficiency with premium quality aerospace-grade Super Alloy Power II components

,
Patented wing-blade 0dB fans with FanConnect II optimizes cooling performance using three axial fans to maximize airflow and two 4-pin headers for targeted system cooling

,
GPU Tweak II makes monitoring performance and streaming easier than ever, featuring Game Booster and a free 1-year premium license of XSplit Gamecaster

,
Form Factor: Plug-in Card

",
B076S4RH6K,"







EVGA GeForce 08G-P4-5671-KR, GTX 1070 Ti SC GAMING ACX 3.0 Black Edition, 8GB GDDR5, EVGA OCX Scanner OC, White LED, DX12OSD Support (PXOC) Graphics Card






",https://images-na.ssl-images-amazon.com/images/I/51PLpT-02fL._AC_.jpg,4.8 out of 5 stars,793 ratings,,,,"
,
,
Real Base Clock: 1607+ MHz/Real Boost Clock: 1683+ MHz; Memory Detail: 8192MB GDDR5

,
With the click of one button, EVGA Precision XOC will detect, scan and apply your optimal overclock

,
Run Longer, Play Longer with EVGA ""ACX 3.0"" Cooling. 240Hz Max Refresh Rate

,
DX12 OSD Support with EVGA Precision XOC Requirements : Minimum of a 500 Watt power supply. One available 8 pin PCI E power dongle. Total Power Draw 217 Watts

,
3 Year Warranty & EVGA's 24/7 Technical Support. Operating system support Windows 10, 8, 7 32/64bit

",
B01LLAJ8PU,"







ZOTAC GeForce GTX 1070 Mini 8GB GDDR5 VR Ready Super Compact Gaming Graphics Card (ZT-P10700G-10M),Black






",https://images-na.ssl-images-amazon.com/images/I/51UKm9G3YOL._AC_.jpg,4.6 out of 5 stars,996 ratings,,,,"
,
,
New pascal architecture

,
8gb 256-bit gddr5.supported os:

,
Virtual reality ready

,
1x dual-link dvi, 3x DisplayPort (version 1.4), 1x HDMI (2.0b)

,
Boost clock 1708 MHz

,
Extended warranty included with every graphics card purchase. User registration required on zotac website

",
B01H0WU884,"







Gigabyte GeForce GTX 1070 G1 Gaming Video/Graphics Cards GV-N1070G1 GAMING-8GD






",https://images-na.ssl-images-amazon.com/images/I/51z3ReGahgL._AC_.jpg,4.2 out of 5 stars,816 ratings,,,,"
,
,
Powered by NVIDIA GeForce GTX 1070. Power requirement: 500W

,
Integrated with 8GB GDDR5 Memory 256-bit Memory interface

,
Core Clock: OC mode boost Clock 1822 MHz, gaming mode boost Clock 1784 MHz

,
Max digital resolution - 7680x4320@60hz

,
Display connectors – DP1.4 x 3, HDMI 2.0b, dl-dvi-d

,
NOTE: Measurement for the product is 15.7 x 9.3 x 3.5

",
